Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2008-01-18,Canberra,15.1,20.4,0,9.6,63,55,1017.5,1015.8,17.8,19.4
2008-01-19,Canberra,15.3,19.6,18.8,5,92,88,1008.7,1006,18,18.6
2008-01-20,Canberra,17.2,24.7,12.2,1.4,80,71,1004.9,1004,19.4,21.9
2008-01-21,Canberra,15.9,19.9,0.8,5.6,73,58,1011.4,1012.1,17.4,18.6
2008-01-22,Canberra,10,22.5,0,4.4,55,46,1018.7,1016.8,14.7,22.2
2008-01-23,Canberra,9.9,24.4,0,5.8,60,38,1021.6,1019.2,16.2,22.7
2008-01-24,Canberra,10.3,27.8,0,6.4,64,29,1021.3,1018.1,17,26.3
2008-01-25,Canberra,15.4,25.7,0,6.8,67,32,1020.1,1016.9,17.6,24.6
2008-01-26,Canberra,12.7,28.8,0,7.4,70,28,1016.5,1012.4,18.3,28.3
2008-01-27,Canberra,13.2,31.3,0,6.6,71,28,1013.1,1009.5,19.7,30.7
2008-01-28,Canberra,15.3,33.2,0,9.4,60,18,1013.9,1012,22.4,32.1
2008-01-29,Canberra,17.9,33.9,0,10.4,72,22,1017.4,1014.6,19.8,32.3
2008-01-30,Canberra,18,34.9,0,9.2,68,29,1018,1013.7,22.2,33.1
2008-01-31,Canberra,17.6,27.8,5.2,10.2,66,49,1014.6,1012.8,21.4,26.3
2008-02-01,Canberra,16,23.8,2.2,5.4,73,49,1018.9,1017.1,16.5,22.9
2008-02-02,Canberra,14.9,28.8,0,5.8,71,44,1018.2,1014.5,19.1,27
2008-02-03,Canberra,17.1,29.6,0,5.8,67,38,1016.7,1012.8,21.7,29.1
2008-02-04,Canberra,18.2,22.6,1.8,8,92,76,1014.4,1011.5,18.5,22.1
2008-02-05,Canberra,16.8,22.8,9,2.8,88,71,1010,1007.8,18.4,21.5
2008-02-06,Canberra,13.6,27.4,1,2.8,77,41,1002.1,997.5,18.7,26.5
2008-02-07,Canberra,14.5,24.2,0,6.8,76,76,999.4,998.9,17.9,20.3
2008-02-08,Canberra,12.4,19.9,16.2,5.4,75,58,1007.6,1005,13.6,18.7
2008-07-01,Melbourne,9.5,15.4,2,2.8,60,38,1006.8,1010.3,11,14.6
2008-07-02,Melbourne,11,14.5,0.6,5.2,66,52,1013.4,1016.2,11.8,13.7
2008-07-03,Melbourne,8.4,14.1,1.4,2,72,58,1024.8,1024.3,10.6,13.9
2008-07-04,Melbourne,9.1,14.5,0.6,1.8,87,49,1030.2,1029,10.2,13.1
2008-07-05,Melbourne,4.3,15.5,0,0.8,81,52,1028.9,1024.9,5.5,14.6
2008-07-06,Melbourne,5.5,15.4,0,2.8,68,48,1023.1,1020.1,11.6,14.6
2008-07-07,Melbourne,11.5,14.3,0,3,73,63,1016.3,1012.9,12.2,13.3
2008-07-08,Melbourne,6.9,10.4,5,1.2,80,71,1017.1,1017,7.3,10.3
2008-07-09,Melbourne,3.6,14.8,1.2,0.4,95,61,1023.1,1019.6,4.2,13.1
2008-07-10,Melbourne,4.2,13.5,3,2.2,87,33,1009.4,1006.7,9,12.2
2008-07-11,Melbourne,7.4,13.5,0.2,1.8,71,56,1016.3,1018.5,9.2,13
2008-07-12,Melbourne,6.6,11.3,0,2,68,53,1023.2,1018.5,8.4,10.3
2008-07-13,Melbourne,8.4,14.3,0,3.8,49,55,1017.1,1014.4,11.3,13.8
2008-07-14,Melbourne,7.4,18.9,0,2.6,78,24,1017.4,1016.2,8.5,17.9
2008-07-15,Melbourne,8.4,17.6,0,2.8,70,51,1019.9,1018.2,10.8,16.1
2008-07-16,Melbourne,6.2,16.4,0,2.6,86,55,1022.2,1018.7,7.5,14.1
2008-07-17,Melbourne,7.5,13.6,0,1.8,70,47,1013.5,1009.2,11.4,13.4
2008-07-18,Melbourne,9.1,12.4,0.8,1.8,87,70,1008.2,1009,9.3,11.7
2008-07-19,Melbourne,6.4,14.1,1.6,1.4,74,55,1012.5,1009.2,8.3,13
2008-07-20,Melbourne,8.3,14,0.8,4.6,63,60,1004.4,1001.5,12.4,13.4
2008-07-21,Melbourne,8.5,13.4,13.8,2.4,78,44,1011.7,1017.7,10,11.7
2008-07-22,Melbourne,6.2,12.6,2.4,1.6,78,62,1029,1029.2,8,12.1
2008-07-23,Melbourne,6.6,11.9,0.8,1.2,85,77,1034.1,1031.9,8.1,10.8
2008-07-24,Melbourne,4.2,16.1,0,1,95,39,1031.2,1026.2,5.5,15.1
2008-07-25,Melbourne,3.8,16.1,0,2,78,46,1024.8,1020.4,5.3,14.8
2008-07-26,Melbourne,4.7,13.3,0,2,79,54,1017.3,1013.7,6.6,12.8
2008-07-27,Melbourne,6.6,10.2,8.2,2,91,80,1013.5,1012.5,7.8,9.9
2008-07-28,Melbourne,6,13.8,1.6,1,71,61,1021.6,1021.4,9.2,12.7
2008-07-29,Melbourne,3.4,14.4,0,1.2,84,45,1023,1017.6,4.8,13.7
2008-07-30,Melbourne,4.4,15.2,0,1.4,76,41,1015.5,1012.1,6.5,14.6
2008-07-31,Melbourne,6.5,15.4,0.4,3.2,64,46,1011.6,1006.9,9.7,15.2
2008-08-01,Melbourne,9.7,14.7,0.4,3.8,70,67,999.7,1001.5,11.8,10.9
2008-08-02,Melbourne,8.6,15.3,0.6,3,78,55,1015.9,1016.1,9.8,14.6
2008-08-03,Melbourne,7.9,14.9,0,1.4,69,54,1019.2,1015.7,10,13.7
2008-08-04,Melbourne,9.7,13.6,0.2,2.8,61,52,1017.7,1018.1,11.1,13.4
2008-08-05,Melbourne,5.6,15,0.2,2,81,55,1024.4,1022.8,8.2,14.8
2008-08-06,Melbourne,7.2,16.6,0,1.8,89,43,1021.7,1017,9.1,15.7
2008-08-07,Melbourne,6.8,15.4,0,1.8,70,52,1017.6,1017,9,14.5
2008-08-08,Melbourne,4.4,14.7,0.4,2.2,61,41,1021.8,1018.9,6.8,14
2008-08-09,Melbourne,5.3,13.4,1.8,2.8,73,44,1021,1016.7,7.2,12.5
2008-08-10,Melbourne,5.6,12.2,4.8,1.6,83,66,1013.9,1013,5.7,9.1
2008-08-11,Melbourne,5.1,13.5,11.4,2,75,57,1020.1,1019.7,8.4,12
2008-08-12,Melbourne,7.3,13.2,0.6,1.8,60,69,1020.2,1019,9.8,12.6
2008-08-13,Melbourne,5.5,13,1.6,2,68,48,1027.1,1025.8,7.5,12.6
2008-08-14,Melbourne,7.4,14.1,0.2,1.6,75,65,1025.1,1021.7,10.2,13.3
2008-08-15,Melbourne,9.9,14.2,0.2,2.2,77,80,1018.5,1015.9,11.4,13.1
2008-08-16,Melbourne,8.5,14.3,2.2,3.6,87,60,1017.6,1018.9,9.5,12.8
2008-08-17,Melbourne,7.8,12.9,4.2,1.4,83,56,1025.6,1025.3,8.6,11.5
2008-08-18,Melbourne,6.7,14.3,0.4,1.4,76,55,1026.8,1025.9,8.9,13.5
2008-08-19,Melbourne,6.2,15.2,0,2.4,68,46,1026.8,1023.1,9.8,14.9
2008-08-20,Melbourne,9.7,15.3,0,3,61,43,1022.4,1019.2,11.8,15
2008-08-21,Melbourne,9.7,9.9,0,3,74,86,1018.3,1018.7,9.8,8.6
2008-08-22,Melbourne,5.9,12.8,14,1,65,55,1025.3,1025.7,9.4,11.7
2008-08-23,Melbourne,4.8,14.2,0.6,1.6,83,59,1030.2,1029.1,7.5,13.8
2008-08-24,Melbourne,7.4,14.2,0.2,0.8,75,46,1031.9,1029.8,10.5,13.6
2008-08-25,Melbourne,3.2,14.3,0,1.6,75,48,1028.1,1023.5,6,13.3
2008-08-26,Melbourne,5.9,17.3,0,3.2,45,32,1020.9,1021.1,12.1,16.2
2008-08-27,Melbourne,7.4,15.3,0,2.6,67,60,1030.3,1029.2,10,13.5
2008-08-28,Melbourne,9.3,14.9,0,1.6,77,63,1030.5,1027.1,10.8,14
2008-08-29,Melbourne,7.3,19.3,0.4,1.4,81,32,1025.8,1020.9,8.9,18.4
2008-08-30,Melbourne,8.6,18.2,0,4,51,46,1015.7,1009.7,14.1,16.2
2008-08-31,Melbourne,13,18.6,0.4,2.2,68,69,1007,1007.2,14.3,11.9
2008-09-01,Melbourne,8,16.4,0.8,4.2,66,40,1020,1018.8,10.2,15.4
2008-09-02,Melbourne,10.1,17.2,0.8,3.8,77,55,1025.8,1027.2,11.5,14.1
2008-09-03,Melbourne,9.2,15.8,0.4,3.4,46,44,1035.6,1033.5,11.2,15.1
2008-09-04,Melbourne,5.4,18.5,0,3,78,43,1034.4,1029.2,7.5,17.8
2008-09-05,Melbourne,7.5,19,0,2.4,70,36,1026.1,1022.1,9.9,17.5
2008-09-06,Melbourne,7.3,18.9,0,2.6,65,45,1021.9,1018.4,11.7,18
2008-09-07,Melbourne,10.2,17.5,0,2.2,74,67,1020,1019,11.6,14.4
2008-09-08,Melbourne,9.7,15.2,0.2,1.6,51,47,1025,1025.2,12.1,13.5
2008-09-09,Melbourne,10.3,14.6,0.2,3,47,43,1028.2,1025.9,11.4,13.9
2008-09-10,Melbourne,6,19.7,0,2.2,62,29,1022.8,1017.2,9.4,18.5
2008-09-11,Melbourne,9.3,18.9,0,5,32,24,1014.8,1009.9,14.5,17.3
2008-09-12,Melbourne,14,24.5,0,11.4,36,31,1004.2,1000.6,17.4,23.1
2008-09-13,Melbourne,16.3,25.5,0,6.4,45,27,1008.6,1003.7,17.9,25.3
